predict,residual
27620196.9,-12381619.9
66025088.1,-56195543.1
-26548538.24,5782546.241
170736995.1,-50153977.11
179909601.9,-64229601.95
-16076282.27,117256000.3
256389436.2,41322112.84
36843861.6,26211487.4
164706728.2,-25530940.25
9984404.746,102690997.3
56705789.68,115967427.3
47308454.08,-47187289.08
64519406.02,-44365266.02
163023920.9,-132228106.9
118570243.6,86361522.38
63446883.3,52623287.7
214688927.8,-140980470.8
16634190.34,-14033147.34
-49242252.62,49098550.62
28008102.86,64282163.14
4110236.828,-4847384.828
130112209.3,-118132204.3
54849305.76,-311351.7583
153659520.4,-28659520.37
-11261519.11,-81634507.89
109238175.5,147134750.5
-25729877.68,24877618.68
19504336.15,-36827638.15
71445573.96,-86085928.96
128081060.9,-133198415.9
-20044459.99,12458374.99
33576055.77,-70947790.77
11274976.12,-42781086.12
93567327.29,-8494750.289
-17285154.16,18608325.16
101395393.1,262348650.9
-1798040.361,-10271774.64
62442317.16,237671994.8
20049420.99,29886343.01
82634100.54,-44664086.54
69077621.8,-55276448.8
-80503593.3,129644623.3
-5024748.447,13880872.45
36733558.68,84535976.32
58579073.05,-28352004.05
13347598.58,-36474927.58
114972695.8,-81697212.76
-4879671.236,46595752.24
-17296022.5,50645906.5
-12961978.59,12425978.59
69039784.35,-55512949.35
22062037.01,-2699325.006
-6816957.113,40216957.11
-15014838.43,10076904.43
38988769.25,-9935375.246
-79728651.29,29652684.29
73611846.88,-73611846.88
94160260.89,-34284027.89
138626499.6,-86873297.62
246911794.8,-298779964.8
6399228.278,-10039248.28
25179053.03,34549475.97
96250846.01,212970099
131846133.6,-18911953.58
155678275.3,13605649.71
-34916470.58,30941708.58
108811490.9,-75436339.86
127987805.7,-21883461.73
165944489.7,199772660.3
35083899.92,-39788693.92
-32822083.64,11500996.64
193715959.6,66209135.39
167780783,-39445629.97
118660309.7,-103167947.7
-20243771.16,83016513.16
-15533426.8,15177145.8
56786135.37,-6344885.368
16928294.63,-17076088.63
129293541.1,-73357309.09
16024230.02,23413616.98
62169744.38,-106527037.4
-7608348.77,7998823.77
9845080.362,40623251.64
60250784.54,-41095349.54
16534827.65,-16111671.65
49632646.06,-49632646.06
-61045214.41,60940118.41
235453879.7,-166126192.7
70191098.3,-111056278.3
69758666.12,52075609.88
48148350.09,17518064.91
38069209.35,-29969209.35
122499646.6,-61303148.55
-37352364.67,27569862.67
144528977.4,-49315522.36
67046323.27,-96171708.27
55186851.51,-65017881.51
192869969.7,-190937664.7
-8487481.468,10266777.47
118693006.3,-13398664.27
-15537260.72,15316397.72
118725680.3,-69898352.31
-8622792.472,3524907.472
60097986.69,-43283077.69
-44196990.55,42998394.55
103582826.9,-72859730.93
227662212.7,-227662139.7
-70405017.5,71365285.5
98319348.15,-93319011.15
34885221.93,-19330688.93
73276552.01,-57569141.01
15176443.72,45004279.28
73568779.49,-73568779.49
151573228.9,-131073228.9
-21488273.14,19828366.14
-16668057.15,-44321252.85
133089688.8,-35998480.81
-38434358.72,1694408.716
191414184,-180539614
2341205.171,-2049030.171
48774170.31,-86139074.31
130062215.1,-64660007.14
14767811.07,4120368.928
15703058.85,-15702928.85
89245093.71,-92482388.71
7429360.191,-9030371.191
52003880.2,24301300.8
168243105.6,-175952129.6
4626129.076,-6611927.076
57044565.71,-70044565.71
-12202353.57,21102384.57
7841720.596,-6872544.596
53764848.35,185692660.6
115135.468,14478273.53
37016308.88,-39299193.88
-28656551.58,21849653.58
52548481.16,-86880588.16
-21844576.33,81444576.33
57086288.57,190853711.4
-4739717.558,1468605.558
40172605.13,-27485961.13
67338454.73,-36148886.73
49524554.15,-48649457.15
42578560.48,-42378244.48
-33309928.69,28753244.69
24544575.32,-48767152.32
-66399670.12,61426641.12
-2416266.853,6173429.853
83879224.46,-80004097.46
122932719.6,-143800859.6
56562859.51,8901804.493
